,,,,,,,0
0.001,adam,32,3,relu,0.4,64,"[0.6486896872520447, 0.6551133990287781, 0.6503856182098389]"
0.001,adam,32,3,relu,0.4,128,"[0.6445119380950928, 0.6559692025184631, 0.6683804392814636]"
0.001,adam,32,3,relu,0.4,256,"[0.6479301452636719, 0.6568250060081482, 0.6709511280059814]"
0.001,adam,32,3,swish,0.4,64,"[0.6452715396881104, 0.6563971042633057, 0.6683804392814636]"
0.001,adam,32,3,swish,0.4,128,"[0.6475503444671631, 0.6538296937942505, 0.663239061832428]"
0.001,adam,32,3,swish,0.4,256,"[0.6471705436706543, 0.6546854972839355, 0.6709511280059814]"
0.001,adam,32,5,relu,0.4,256,"[0.6441321969032288, 0.6555413007736206, 0.6606683731079102]"
0.001,adam,32,5,relu,0.4,512,"[0.6456513404846191, 0.6551133990287781, 0.6529563069343567]"
0.001,adam,32,5,swish,0.4,256,"[0.6471705436706543, 0.6563971042633057, 0.6503856182098389]"
0.001,adam,32,5,swish,0.4,512,"[0.6426129937171936, 0.654257595539093, 0.6606683731079102]"
0.001,adam,256,3,relu,0.4,64,"[0.6479301452636719, 0.6525459885597229, 0.647814929485321]"
0.001,adam,256,3,relu,0.4,128,"[0.6483098864555359, 0.6611039638519287, 0.6838046312332153]"
0.001,adam,256,3,relu,0.4,256,"[0.6471705436706543, 0.6563971042633057, 0.6760925650596619]"
0.001,adam,256,3,swish,0.4,64,"[0.6509684920310974, 0.654257595539093, 0.6683804392814636]"
0.001,adam,256,3,swish,0.4,128,"[0.649829089641571, 0.6529738903045654, 0.6658097505569458]"
0.001,adam,256,3,swish,0.4,256,"[0.6494492888450623, 0.6551133990287781, 0.6709511280059814]"
0.001,adam,256,5,relu,0.4,256,"[0.6464109420776367, 0.6598202586174011, 0.663239061832428]"
0.001,adam,256,5,relu,0.4,512,"[0.6471705436706543, 0.6555413007736206, 0.6658097505569458]"
0.001,adam,256,5,swish,0.4,256,"[0.5643752217292786, 0.6546854972839355, 0.6606683731079102]"
0.001,adam,256,5,swish,0.4,512,"[0.6456513404846191, 0.6546854972839355, 0.6683804392814636]"
0.01,adam,32,3,relu,0.4,64,"[0.6441321969032288, 0.654257595539093, 0.6529563069343567]"
0.01,adam,32,3,relu,0.4,128,"[0.6464109420776367, 0.6563971042633057, 0.6555269956588745]"
0.01,adam,32,3,relu,0.4,256,"[0.6467907428741455, 0.6546854972839355, 0.6606683731079102]"
0.01,adam,32,3,swish,0.4,64,"[0.6467907428741455, 0.6546854972839355, 0.6786632537841797]"
0.01,adam,32,3,swish,0.4,128,"[0.6448917388916016, 0.653401792049408, 0.6709511280059814]"
0.01,adam,32,3,swish,0.4,256,"[0.6460311412811279, 0.6529738903045654, 0.6529563069343567]"
0.01,adam,32,5,relu,0.4,256,"[0.6460311412811279, 0.6593923568725586, 0.6529563069343567]"
0.01,adam,32,5,relu,0.4,512,"[0.5643752217292786, 0.6593923568725586, 0.673521876335144]"
0.01,adam,32,5,swish,0.4,256,"[0.5643752217292786, 0.653401792049408, 0.6555269956588745]"
0.01,adam,32,5,swish,0.4,512,"[0.5643752217292786, 0.6499785780906677, 0.647814929485321]"
0.01,adam,256,3,relu,0.4,64,"[0.6448917388916016, 0.6563971042633057, 0.6709511280059814]"
0.01,adam,256,3,relu,0.4,128,"[0.6479301452636719, 0.6516901850700378, 0.6709511280059814]"
0.01,adam,256,3,relu,0.4,256,"[0.6471705436706543, 0.6589644551277161, 0.6709511280059814]"
0.01,adam,256,3,swish,0.4,64,"[0.6445119380950928, 0.6551133990287781, 0.6709511280059814]"
0.01,adam,256,3,swish,0.4,128,"[0.6494492888450623, 0.6538296937942505, 0.6452442407608032]"
0.01,adam,256,3,swish,0.4,256,"[0.6448917388916016, 0.6546854972839355, 0.6503856182098389]"
0.01,adam,256,5,relu,0.4,256,"[0.641853392124176, 0.6589644551277161, 0.6683804392814636]"
0.01,adam,256,5,relu,0.4,512,"[0.6456513404846191, 0.654257595539093, 0.6760925650596619]"
0.01,adam,256,5,swish,0.4,256,"[0.6464109420776367, 0.6512622833251953, 0.6580976843833923]"
0.01,adam,256,5,swish,0.4,512,"[0.5643752217292786, 0.6512622833251953, 0.673521876335144]"
0.1,adam,32,3,relu,0.4,64,"[0.5643752217292786, 0.6585366129875183, 0.5732647776603699]"
0.1,adam,32,3,relu,0.4,128,"[0.5643752217292786, 0.5554129481315613, 0.6401028037071228]"
0.1,adam,32,3,relu,0.4,256,"[0.5643752217292786, 0.5554129481315613, 0.6426734924316406]"
0.1,adam,32,3,swish,0.4,64,"[0.5643752217292786, 0.6572529077529907, 0.6529563069343567]"
0.1,adam,32,3,swish,0.4,128,"[0.5643752217292786, 0.6593923568725586, 0.6555269956588745]"
0.1,adam,32,3,swish,0.4,256,"[0.5643752217292786, 0.6589644551277161, 0.6555269956588745]"
0.1,adam,32,5,relu,0.4,256,"[0.5643752217292786, 0.5554129481315613, 0.5732647776603699]"
0.1,adam,32,5,relu,0.4,512,"[0.5643752217292786, 0.5554129481315613, 0.6555269956588745]"
0.1,adam,32,5,swish,0.4,256,"[0.5643752217292786, 0.6598202586174011, 0.647814929485321]"
0.1,adam,32,5,swish,0.4,512,"[0.5643752217292786, 0.6598202586174011, 0.6555269956588745]"
0.1,adam,256,3,relu,0.4,64,"[0.5643752217292786, 0.6593923568725586, 0.663239061832428]"
0.1,adam,256,3,relu,0.4,128,"[0.6505886912345886, 0.6495506763458252, 0.6709511280059814]"
0.1,adam,256,3,relu,0.4,256,"[0.5643752217292786, 0.6516901850700378, 0.673521876335144]"
